Status;Carta-Consulta;Modalidade;UF;Município;Agente Financeiro;Proponente;Empreendimento;Valor de Contrapartida (R$);Valor de Empréstimo (R$);Valor de Investimento (R$)
Em análise de enquadramento;866.2.2010/2017;Qualificação Viária;RJ;Quissamã;Caixa Econômica Federal;Prefeitura Municipal de Quissamã;Qualificação Viária do Prefeitura Municipal de Quissamã;R$ 248.000,00;R$ 4.712.000,00;R$ 4.960.000,00
Não enquadrada pelo Agente Financeiro;967.24.0111/2017;Qualificação Viária;MS;Itaporã;Caixa Econômica Federal;Prefeitura Municipal de Itaporã;Qualificação Viária do Prefeitura Municipal de Itaporã;R$ 167.482,21;R$ 3.182.161,87;R$ 3.349.644,08
Em análise de enquadramento;1269.25.1112/2017;Qualificação Viária;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Qualificação Viária do MUNICIPIO DE HORTOLANDIA;R$ 215.000,00;R$ 4.085.000,00;R$ 4.300.000,00
Pré-selecionada pelo Gestor da Aplicação;3292.3.2404/2018;Transporte Não Motorizado;PR;Campina da Lagoa;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Campina da Lagoa;Transporte Não Motorizado do Prefeitura Municipal de Campina da Lagoa;R$ 123.550,00;R$ 2.347.450,00;R$ 2.471.000,00
Em análise de enquadramento;1043.2.1311/2017;Qualificação Viária;PR;Pranchita;Caixa Econômica Federal;Prefeitura Municipal de Pranchita;Qualificação Viária do Prefeitura Municipal de Pranchita;R$ 53.657,06;R$ 1.019.484,04;R$ 1.073.141,10
Selecionada pelo gestor da aplicação;1287.2.1212/2017;Qualificação Viária;RS;Venâncio Aires;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Venâncio Aires;Qualificação Viária do Prefeitura Municipal de Venâncio Aires;R$ 998.081,93;R$ 18.963.556,64;R$ 19.961.638,57
Em análise de enquadramento;1032.2.1011/2017;Qualificação Viária;RS;Nova Hartz;Caixa Econômica Federal;Prefeitura Municipal de Nova Hartz;Qualificação Viária do Prefeitura Municipal de Nova Hartz;R$ 750.000,00;R$ 14.242.565,20;R$ 14.992.565,20
Pré-selecionada pelo Gestor da Aplicação;1055.35.1411/2017;Transporte Não Motorizado;SP;Marília;Caixa Econômica Federal;Prefeitura Municipal de Marília;Transporte Não Motorizado do Prefeitura Municipal de Marília;R$ 150.000,00;R$ 2.840.656,71;R$ 2.990.656,71
Pré-selecionada pelo Gestor da Aplicação;1155.2.2411/2017;Qualificação Viária;RS;Morro Reuter;Caixa Econômica Federal;Prefeitura Municipal de Morro Reuter;Qualificação Viária do Prefeitura Municipal de Morro Reuter;R$ 164.392,27;R$ 3.123.453,08;R$ 3.287.845,35
Pré-selecionada pelo Gestor da Aplicação;3565.2.0407/2018;Qualificação Viária;SC;Treviso;Caixa Econômica Federal;Prefeitura Municipal de Treviso;Qualificação Viária do Prefeitura Municipal de Treviso;R$ 47.970,65;R$ 911.442,29;R$ 959.412,94
Em análise de enquadramento;3996.2.3004/2019;Qualificação Viária;AL;Campestre;Caixa Econômica Federal;PREFEITURA MUNICIPAL DE CAMPESTRE;Qualificação Viária do PREFEITURA MUNICIPAL DE CAMPESTRE;R$ 40.869,75;R$ 776.525,25;R$ 817.395,00
Em análise de enquadramento;1363.2.2012/2017;Qualificação Viária;PA;Ulianópolis;Caixa Econômica Federal;Prefeitura Municipal de Ulianópolis;Qualificação Viária do Prefeitura Municipal de Ulianópolis;R$ 751.000,00;R$ 14.249.000,00;R$ 15.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1062.2.1411/2017;Qualificação Viária;MG;Piedade de Ponte Nova;Caixa Econômica Federal;Prefeitura Municipal de Piedade de Ponte Nova;Qualificação Viária do Prefeitura Municipal de Piedade de Ponte Nova;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Não enquadrada pelo Agente Financeiro;1504.24.0801/2018;Qualificação Viária;MS;Aral Moreira;Caixa Econômica Federal;Prefeitura Municipal de Aral Moreira;Qualificação Viária do Prefeitura Municipal de Aral Moreira;R$ 248.661,33;R$ 4.724.565,13;R$ 4.973.226,46
Não enquadrada pelo Agente Financeiro;114.25.1408/2017;Qualificação Viária;PR;Umuarama;Caixa Econômica Federal;Prefeitura Municipal de Umuarama;Qualificação Viária do Prefeitura Municipal de Umuarama;R$ 209.850,00;R$ 3.987.150,00;R$ 4.197.000,00
Em análise de enquadramento;1270.3.1112/2017;Transporte Não Motorizado;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Transporte Não Motorizado do MUNICIPIO DE HORTOLANDIA;R$ 200.000,00;R$ 3.800.000,00;R$ 4.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1210.2.0412/2017;Qualificação Viária;PR;Ângulo;Caixa Econômica Federal;Prefeitura Municipal de Ângulo;Qualificação Viária do Prefeitura Municipal de Ângulo;R$ 30.860,95;R$ 586.356,09;R$ 617.217,04
Não enquadrada pelo Agente Financeiro;225.2.2408/2017;Qualificação Viária;BA;Quijingue;Caixa Econômica Federal;Prefeitura Municipal de Quijingue;Qualificação Viária do Prefeitura Municipal de Quijingue;R$ 66.500,00;R$ 1.263.500,00;R$ 1.330.000,00
Devolvida ao Proponente;1499.24.0601/2018;Qualificação Viária;PA;Uruará;Caixa Econômica Federal;Prefeitura Municipal de Uruará;Qualificação Viária do Prefeitura Municipal de Uruará;R$ 627.750,00;R$ 11.927.250,00;R$ 12.555.000,00
Pré-selecionada pelo Gestor da Aplicação;3380.24.1106/2018;Qualificação Viária;PI;Pau D'Arco do Piauí;Caixa Econômica Federal;Prefeitura Municipal de Pau D'Arco do Piauí;Qualificação Viária do Prefeitura Municipal de Pau D'Arco do Piauí;R$ 126.000,00;R$ 2.374.000,00;R$ 2.500.000,00
Em análise de enquadramento;1044.2.1311/2017;Qualificação Viária;RS;Capela de Santana;Caixa Econômica Federal;Prefeitura Municipal de Capela de Santana;Qualificação Viária do Prefeitura Municipal de Capela de Santana;R$ 232.345,38;R$ 4.414.562,12;R$ 4.646.907,50
Em análise de enquadramento;1101.24.1711/2017;Qualificação Viária;MG;Boa Esperança;Caixa Econômica Federal;Prefeitura Municipal de Boa Esperança;Qualificação Viária do Prefeitura Municipal de Boa Esperança;R$ 637.750,00;R$ 11.867.250,00;R$ 12.505.000,00
Não enquadrada pelo Agente Financeiro;161.2.1808/2017;Qualificação Viária;RN;Lagoa Salgada;Caixa Econômica Federal;Prefeitura Municipal de Lagoa Salgada;Qualificação Viária do Prefeitura Municipal de Lagoa Salgada;R$ 120.000,00;R$ 2.280.000,00;R$ 2.400.000,00
Em análise de enquadramento;1102.2.1711/2017;Qualificação Viária;SP;Santa Bárbara d'Oeste;Caixa Econômica Federal;Prefeitura Municipal de Santa Bárbara d'Oeste;Qualificação Viária do Prefeitura Municipal de Santa Bárbara d'Oeste;R$ 234.500,00;R$ 4.455.500,00;R$ 4.690.000,00
Pré-selecionada pelo Gestor da Aplicação;1146.24.2311/2017;Qualificação Viária;PR;Moreira Sales;Caixa Econômica Federal;Prefeitura Municipal de Moreira Sales;Qualificação Viária do Prefeitura Municipal de Moreira Sales;R$ 52.500,00;R$ 997.500,00;R$ 1.050.000,00
Enquadrada pelo Agente Financeiro;1212.24.0412/2017;Qualificação Viária;PE;Afrânio;Caixa Econômica Federal;Prefeitura Municipal de Afrânio;Qualificação Viária do Prefeitura Municipal de Afrânio;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Pré-selecionada pelo Gestor da Aplicação;540.2.1809/2017;Qualificação Viária;PA;Canaã dos Carajás;Caixa Econômica Federal;Prefeitura Municipal de Canaã dos Carajás;Qualificação Viária do Prefeitura Municipal de Canaã dos Carajás;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1284.2.1212/2017;Qualificação Viária;PR;Campo Mourão;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Campo Mourão;Qualificação Viária do Prefeitura Municipal de Campo Mourão;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Pré-selecionada pelo Gestor da Aplicação;775.2.0610/2017;Qualificação Viária;RJ;Cambuci;Caixa Econômica Federal;Prefeitura Municipal de Cambuci;Qualificação Viária do Prefeitura Municipal de Cambuci;R$ 263.000,00;R$ 4.997.000,00;R$ 5.260.000,00
Selecionada pelo gestor da aplicação;404.2.3008/2017;Qualificação Viária;SC;Abelardo Luz;Caixa Econômica Federal;Prefeitura Municipal de Abelardo Luz;Qualificação Viária do Prefeitura Municipal de Abelardo Luz;R$ 107.415,47;R$ 2.040.893,84;R$ 2.148.309,31
Não enquadrada pelo Agente Financeiro;938.3.2710/2017;Transporte Não Motorizado;MS;Tacuru;Caixa Econômica Federal;Prefeitura Municipal de Tacuru;Transporte Não Motorizado do Prefeitura Municipal de Tacuru;R$ 35.000,00;R$ 665.000,00;R$ 700.000,00
Pré-selecionada pelo Gestor da Aplicação;1113.3.2011/2017;Transporte Não Motorizado;PR;Ribeirão do Pinhal;Caixa Econômica Federal;Prefeitura Municipal de Ribeirão do Pinhal;Transporte Não Motorizado do Prefeitura Municipal de Ribeirão do Pinhal;R$ 29.645,37;R$ 563.261,99;R$ 592.907,36
Em análise de enquadramento;3432.2.0606/2018;Qualificação Viária;PI;Campo Largo do Piauí;Caixa Econômica Federal;Prefeitura Municipal de Campo Largo do Piauí;Qualificação Viária do Prefeitura Municipal de Campo Largo do Piauí;R$ 53.472,00;R$ 1.015.968,00;R$ 1.069.440,00
Não enquadrada pelo Agente Financeiro;301.2.2508/2017;Qualificação Viária;SC;Maracajá;Caixa Econômica Federal;Prefeitura Municipal de Maracajá;Qualificação Viária do Prefeitura Municipal de Maracajá;R$ 59.027,70;R$ 1.121.526,20;R$ 1.180.553,90
Em análise de enquadramento;1511.24.0901/2018;Qualificação Viária;AM;Autazes;Caixa Econômica Federal;Prefeitura Municipal de Autazes;Qualificação Viária do Prefeitura Municipal de Autazes;R$ 782.160,93;R$ 14.511.102,46;R$ 15.293.263,39
Em análise de validação;1042.2345.1311/2017;Qualificação Viária;SE;Aracaju;Caixa Econômica Federal;Prefeitura Municipal de Aracaju;Qualificação Viária do Prefeitura Municipal de Aracaju;R$ 300.000,00;R$ 5.700.000,00;R$ 6.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1164.2.2711/2017;Qualificação Viária;SP;Rio Claro;Caixa Econômica Federal;Prefeitura Municipal de Rio Claro;Qualificação Viária do Prefeitura Municipal de Rio Claro;R$ 493.730,42;R$ 9.380.877,80;R$ 9.874.608,22
Pré-selecionada pelo Gestor da Aplicação;1496.2.0501/2018;Qualificação Viária;RS;Itaqui;Caixa Econômica Federal;Prefeitura Municipal de Itaqui;Qualificação Viária do Prefeitura Municipal de Itaqui;R$ 267.371,97;R$ 5.080.067,38;R$ 5.347.439,35
Não enquadrada pelo Agente Financeiro;1120.2.2011/2017;Qualificação Viária;PA;Capitão Poço;Caixa Econômica Federal;Prefeitura Municipal de Capitão Poço;Qualificação Viária do Prefeitura Municipal de Capitão Poço;R$ 272.600,62;R$ 5.179.411,62;R$ 5.452.012,24
Em análise de enquadramento;1273.34.1112/2017;Transporte Não Motorizado;SP;Hortolândia;Caixa Econômica Federal;MUNICIPIO DE HORTOLANDIA;Transporte Não Motorizado do MUNICIPIO DE HORTOLANDIA;R$ 216.000,00;R$ 4.104.000,00;R$ 4.320.000,00
Não enquadrada pelo Agente Financeiro;397.2.2908/2017;Qualificação Viária;RS;Igrejinha;Caixa Econômica Federal;Prefeitura Municipal de Igrejinha;Qualificação Viária do Prefeitura Municipal de Igrejinha;R$ 470.730,25;R$ 8.943.874,75;R$ 9.414.605,00
Pré-selecionada pelo Gestor da Aplicação;1112.2.2011/2017;Qualificação Viária;PR;Mauá da Serra;Caixa Econômica Federal;Prefeitura Municipal de Mauá da Serra;Qualificação Viária do Prefeitura Municipal de Mauá da Serra;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Não enquadrada pelo Agente Financeiro;1148.24.2311/2017;Qualificação Viária;PR;Moreira Sales;Caixa Econômica Federal;Prefeitura Municipal de Moreira Sales;Qualificação Viária do Prefeitura Municipal de Moreira Sales;R$ 52.500,00;R$ 997.500,00;R$ 1.050.000,00
Pré-selecionada pelo Gestor da Aplicação;1601.3.2601/2018;Transporte Não Motorizado;SP;Peruíbe;Caixa Econômica Federal;Prefeitura Municipal de Peruíbe;Transporte Não Motorizado do Prefeitura Municipal de Peruíbe;R$ 100.500,00;R$ 1.909.500,00;R$ 2.010.000,00
Pré-selecionada pelo Gestor da Aplicação;1544.25.1501/2018;Qualificação Viária;SP;Paulínia;Caixa Econômica Federal;Prefeitura Municipal de Paulínia;Qualificação Viária do Prefeitura Municipal de Paulínia;R$ 1.500.000,00;R$ 28.500.000,00;R$ 30.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1087.2.1611/2017;Qualificação Viária;MG;Itapeva;Caixa Econômica Federal;Prefeitura Municipal de Itapeva;Qualificação Viária do Prefeitura Municipal de Itapeva;R$ 75.250,00;R$ 1.429.750,00;R$ 1.505.000,00
Em análise de enquadramento;1256.2.0812/2017;Qualificação Viária;PR;Jesuítas;Caixa Econômica Federal;Prefeitura Municipal de Formosa do Oeste;Qualificação Viária do Prefeitura Municipal de Formosa do Oeste;R$ 130.000,00;R$ 2.470.000,00;R$ 2.600.000,00
Em análise de enquadramento;1356.24.2012/2017;Qualificação Viária;RS;Seberi;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Seberi;Qualificação Viária do Prefeitura Municipal de Seberi;R$ 250.250,00;R$ 4.754.750,00;R$ 5.005.000,00
Em análise de enquadramento;785.2.0610/2017;Qualificação Viária;ES;São Mateus;Caixa Econômica Federal;Prefeitura Municipal de São Mateus;Qualificação Viária do Prefeitura Municipal de São Mateus;R$ 265.799,10;R$ 5.050.182,89;R$ 5.315.981,99
Não enquadrada pelo Agente Financeiro;1331.24.1812/2017;Qualificação Viária;PA;São Miguel do Guamá;Caixa Econômica Federal;Prefeitura Municipal de São Miguel do Guamá;Qualificação Viária do Prefeitura Municipal de São Miguel do Guamá;R$ 794.500,00;R$ 11.085.500,00;R$ 11.880.000,00
Pré-selecionada pelo Gestor da Aplicação;1063.24.1411/2017;Qualificação Viária;SP;Marília;Caixa Econômica Federal;Prefeitura Municipal de Marília;Qualificação Viária do Prefeitura Municipal de Marília;R$ 360.706,99;R$ 6.753.432,75;R$ 7.114.139,74
Não enquadrada pelo Agente Financeiro;321.2.2508/2017;Qualificação Viária;RS;Maratá;Caixa Econômica Federal;Prefeitura Municipal de Maratá;Qualificação Viária do Prefeitura Municipal de Maratá;R$ 116.865,00;R$ 2.220.435,00;R$ 2.337.300,00
Não enquadrada pelo Agente Financeiro;433.24.0109/2017;Qualificação Viária;PE;Salgueiro;Caixa Econômica Federal;Prefeitura Municipal de Salgueiro;Qualificação Viária do Prefeitura Municipal de Salgueiro;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
Em análise de enquadramento;1469.2.3012/2017;Qualificação Viária;MA;Barão de Grajaú;Caixa Econômica Federal;Prefeitura Municipal de Barão de Grajaú;Qualificação Viária do Prefeitura Municipal de Barão de Grajaú;R$ 150.000,00;R$ 2.850.000,00;R$ 3.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1242.2.0712/2017;Qualificação Viária;PR;Mamborê;Caixa Econômica Federal;Prefeitura Municipal de Mamborê;Qualificação Viária do Prefeitura Municipal de Mamborê;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Pré-selecionada pelo Gestor da Aplicação;1202.2.0112/2017;Qualificação Viária;PR;Coronel Domingos Soares;Caixa Econômica Federal;Prefeitura Municipal de Coronel Domingos Soares;Qualificação Viária do Prefeitura Municipal de Coronel Domingos Soares;R$ 250.000,00;R$ 4.750.000,00;R$ 5.000.000,00
Em análise de enquadramento;1487.2.0401/2018;Qualificação Viária;RS;São Nicolau;Caixa Econômica Federal;Prefeitura Municipal de São Nicolau;Qualificação Viária do Prefeitura Municipal de São Nicolau;R$ 178.000,00;R$ 3.382.000,00;R$ 3.560.000,00
Pré-selecionada pelo Gestor da Aplicação;1295.2.1312/2017;Qualificação Viária;SC;Presidente Nereu;Caixa Econômica Federal;Prefeitura Municipal de Presidente Nereu;Qualificação Viária do Prefeitura Municipal de Presidente Nereu;R$ 122.707,76;R$ 2.331.447,33;R$ 2.454.155,09
Pré-selecionada pelo Gestor da Aplicação;2391.2.2303/2018;Qualificação Viária;MG;Imbé de Minas;Caixa Econômica Federal;Prefeitura Municipal de Imbé de Minas;Qualificação Viária do Prefeitura Municipal de Imbé de Minas;R$ 146.541,85;R$ 2.784.295,15;R$ 2.930.837,00
Em análise de enquadramento;1316.2.1512/2017;Qualificação Viária;RS;Santa Rosa;Caixa Econômica Federal;Prefeitura Municipal de Santa Rosa;Qualificação Viária do Prefeitura Municipal de Santa Rosa;R$ 578.388,21;R$ 10.989.375,79;R$ 11.567.764,00
Selecionada pelo gestor da aplicação;1191.2.3011/2017;Qualificação Viária;SC;Rio do Sul;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Rio do Sul;Qualificação Viária do Prefeitura Municipal de Rio do Sul;R$ 297.358,33;R$ 5.649.808,24;R$ 5.947.166,57
Pré-selecionada pelo Gestor da Aplicação;1610.2.3001/2018;Qualificação Viária;SP;Peruíbe;Caixa Econômica Federal;Prefeitura Municipal de Peruíbe;Qualificação Viária do Prefeitura Municipal de Peruíbe;R$ 226.915,60;R$ 4.311.396,40;R$ 4.538.312,00
Em análise de enquadramento;1131.3.2111/2017;Transporte Não Motorizado;PR;Terra Roxa;Caixa Econômica Federal;Prefeitura Municipal de Terra Roxa;Transporte Não Motorizado do Prefeitura Municipal de Terra Roxa;R$ 231.000,00;R$ 4.389.000,00;R$ 4.620.000,00
Em análise de enquadramento;1204.24.0112/2017;Qualificação Viária;MG;Santo Antônio do Aventureiro;Caixa Econômica Federal;Prefeitura Municipal de Santo Antônio do Aventureiro;Qualificação Viária do Prefeitura Municipal de Santo Antônio do Aventureiro;R$ 75.000,00;R$ 1.425.000,00;R$ 1.500.000,00
Pré-selecionada pelo Gestor da Aplicação;3443.24.0606/2018;Qualificação Viária;PI;São Félix do Piauí;Caixa Econômica Federal;Prefeitura Municipal de São Félix do Piauí;Qualificação Viária do Prefeitura Municipal de São Félix do Piauí;R$ 133.230,64;R$ 2.531.381,99;R$ 2.664.612,63
Em análise de enquadramento;308.3.2508/2017;Transporte Não Motorizado;PR;Sertanópolis;Caixa Econômica Federal;Prefeitura Municipal de Sertanópolis;Transporte Não Motorizado do Prefeitura Municipal de Sertanópolis;R$ 36.000,00;R$ 684.000,00;R$ 720.000,00
Em análise de enquadramento;326.3.2508/2017;Transporte Não Motorizado;PR;Sertanópolis;Caixa Econômica Federal;Prefeitura Municipal de Sertanópolis;Transporte Não Motorizado do Prefeitura Municipal de Sertanópolis;R$ 225.000,00;R$ 4.275.000,00;R$ 4.500.000,00
Em análise de enquadramento;1317.2.1512/2017;Qualificação Viária;PR;Mariópolis;Caixa Econômica Federal;Prefeitura Municipal de Mariópolis;Qualificação Viária do Prefeitura Municipal de Mariópolis;R$ 100.830,00;R$ 1.915.770,00;R$ 2.016.600,00
Pré-selecionada pelo Gestor da Aplicação;616.2.2209/2017;Qualificação Viária;RS;Campo Bom;Caixa Econômica Federal;Prefeitura Municipal de Campo Bom;Qualificação Viária do Prefeitura Municipal de Campo Bom;R$ 1.000.000,00;R$ 18.450.000,00;R$ 19.450.000,00
Selecionada pelo gestor da aplicação;172.2.2108/2017;Qualificação Viária;SC;Rio Fortuna;Banco Regional de Desenvolvimento do Extremo Sul – BRDE;Prefeitura Municipal de Rio Fortuna;Qualificação Viária do Prefeitura Municipal de Rio Fortuna;R$ 127.574,87;R$ 2.423.922,36;R$ 2.551.497,23
Pré-selecionada pelo Gestor da Aplicação;3444.24.1206/2018;Qualificação Viária;PI;São Miguel do Tapuio;Caixa Econômica Federal;Prefeitura Municipal de São Miguel do Tapuio;Qualificação Viária do Prefeitura Municipal de São Miguel do Tapuio;R$ 255.000,00;R$ 4.745.000,00;R$ 5.000.000,00
Em análise de enquadramento;1334.24.1812/2017;Qualificação Viária;PA;São Miguel do Guamá;Banco do Estado do Pará - Banpará;Prefeitura Municipal de São Miguel do Guamá;Qualificação Viária do Prefeitura Municipal de São Miguel do Guamá;R$ 750.000,00;R$ 14.250.000,00;R$ 15.000.000,00
